Contaminant,Contaminant class,Phytoplankton,Submerged Macrophyte,Zooplankton,"Diet - Small polychaete (e.g., Harmothoe imbricata)","Diet - Large polychaete (e.g., Neanthes)",Amphipod,Cumacean,Mysid,Bivalve mollusk,Decapod crab,Crangon shrimp,Forage fish - herbivore,Forage fish - planktivore,Forage fish  - primarily benthivore,Forage fish - benthivore,Forage fish - mixed diet i,Forage fish - mixed diet ii,Indicator species 1 - Piscivore,Indicator species 2 - Benthic diet with piscivory,Indicator species 3 - Benthic and pelagic with piscivory,Indicator species 4 - Benthic without piscivory,Indicator species 5 - Benthic and pelagic without piscivory,Indicator species 6 - Benthic with herbivory,Indicator species 7 - Benthic and pelagic with herbivory,Indicator species 8- Pelagic with benthic herbivory
PCB 29,PCBs,0.447709138,0.474722483,0.487692913,0.587176376,0.966366166,0.574868112,0.518420586,0.513111291,0.606014509,1.485834189,0.798024967,0.638139367,1.700907362,1.652761512,2.853657585,1.314947197,3.457951345,2.022128155,1.923608907,2.591087811,3.582918389,1.334607848,4.265231049,0.992282132,3.948275265
PCB 31,PCBs,0.431907785,0.447598094,0.518124262,0.647422802,1.178756348,0.650522121,0.566535589,0.563357659,0.649800938,1.800520949,0.876458352,0.686478061,2.026920172,2.11103509,3.746799569,1.623187437,4.380947908,2.809034868,2.717699074,3.546352668,4.569786525,1.677331307,4.94768649,1.166253776,4.292934274
PCB 33,PCBs,0.444372782,0.468891621,0.494521109,0.599739138,1.011566114,0.590917991,0.52879313,0.523752698,0.615552521,1.554628889,0.814136074,0.649637654,1.772619858,1.749631734,3.040633397,1.379558195,3.654723394,2.189444177,2.090578781,2.793543273,3.795459465,1.408244095,4.424253211,1.030981119,4.036193561
PCB 37,PCBs,0.430856846,0.445837435,0.519978821,0.651497033,1.192729032,0.655514324,0.569642017,0.566677933,0.652588664,1.820494939,0.881851212,0.689181541,2.047441522,2.141429709,3.806773518,1.643830296,4.441528814,2.860767637,2.770600347,3.609278652,4.633793607,1.699602881,4.987670463,1.177070341,4.310506726
PCB 44,PCBs,0.425764283,0.437380087,0.528804745,0.671604375,1.260995144,0.679929972,0.584727639,0.582927391,0.66607979,1.916950856,0.908637279,0.701713067,2.146475903,2.290502785,4.10231628,1.745353668,4.738063091,3.113695587,3.030149491,3.9168718,4.946021182,1.808116045,5.177321903,1.229106648,4.390574927
PCB 49,PCBs,0.407777912,0.40846356,0.555783679,0.743536518,1.496010059,0.763828443,0.635024896,0.638616375,0.710256187,2.234499092,1.005111346,0.735712581,2.468190738,2.806624679,5.139858601,2.099301915,5.752363187,3.977192268,3.927579507,4.961305563,6.004552287,2.175778801,5.75768735,1.397536583,4.595550699
PCB 52,PCBs,0.413353898,0.417272829,0.548041668,0.720963265,1.423763883,0.738084758,0.619839283,0.621562415,0.697037885,2.139144954,0.974785234,0.726636881,2.372240253,2.647508341,4.817679149,1.989888488,5.441423982,3.712986206,3.651360616,4.643020655,5.681248046,2.063648878,5.589138184,1.347308358,4.541886145
PCB 56,PCBs,0.394475883,0.387987674,0.572063301,0.798391295,1.666101726,0.824091308,0.669706057,0.678330423,0.740072426,2.451523244,1.078462754,0.752711828,2.684032609,3.18207961,5.907528434,2.357881141,6.480065015,4.59344701,4.576737656,5.697412609,6.759073188,2.43659365,6.126658269,1.511032904,4.696812608
PCB 60,PCBs,0.37635425,0.361256439,0.589447479,1.196739296,2.161598585,0.90311971,0.713284769,0.729727763,1.056744964,2.951859038,1.179295601,0.766710737,2.949586099,4.003218897,7.609938802,2.79194754,7.96032483,5.658240983,5.982769389,6.753198735,8.588502623,2.957995846,6.985747283,1.65890207,4.990071697
PCB 64,PCBs,0.428198665,0.441407632,0.52470017,0.662064084,1.228751817,0.668402295,0.57763456,0.575259703,0.659756903,1.871665461,0.895927904,0.695984805,2.100125906,2.220102404,3.962552319,1.697357642,4.598369023,2.994472117,2.907554637,3.771953094,4.799123925,1.757012352,5.089514525,1.204768474,4.354514956
